Question,Label
Do you have a family history of medical conditions?,1
What is your occupation and daily routine?,1
Have you been feeling fatigued or unusually tired?,1
Do you have a history of high blood pressure?,1
Are you diabetic or have a history of diabetes?,1
Have you been hospitalized recently?,1
Are you experiencing any difficulty breathing?,1
Do you have any cardiovascular issues?,1
Are you experiencing nausea or vomiting?,1
Have you been feeling anxious or stressed lately?,1
Do you have any digestive or gastrointestinal problems?,1
Are you experiencing dizziness or fainting?,1
"Do you have any neurological symptoms, like tingling or numbness?",1
Have you noticed any changes in your vision or hearing?,1
Have you been vaccinated recently?,1
Are you pregnant or planning to conceive?,1
Are you experiencing any unusual bleeding or bruising?,1
Have you noticed any lumps or swelling in your body?,1
Have you experienced any recent injuries or trauma?,1
Do you have any dietary restrictions or preferences?,1
What is your favorite movie of all time?,0
Do you prefer coffee or tea in the morning?,0
Who is your favorite celebrity?,0
What is your dream vacation destination?,0
Are you a dog person or a cat person?,0
Do you play any musical instruments?,0
What is your zodiac sign?,0
Have you watched the latest season of your favorite TV show?,0
Do you enjoy cooking or baking more?,0
What is your favorite sports team?,0
Are you good at solving puzzles?,0
Do you like spicy food?,0
What is your go-to karaoke song?,0
Have you ever gone skydiving or bungee jumping?,0
Do you prefer Android or iOS?,0
What is your favorite social media platform?,0
"Are you into gaming? If so, what is your favorite game?",0
Do you collect anything as a hobby?,0
What is your favorite type of cuisine?,0
Do you prefer winter or summer?,0
What is your favorite color?,0
Have you ever been on a cruise?,0
Do you believe in aliens?,0
What is your favorite childhood memory?,0
Are you into gardening?,0
Do you prefer reading books or watching movies?,0
What is your favorite ice cream flavor?,0
Have you ever met a celebrity?,0
Do you like to dance?,0
Have you ever tried learning a new language?,0
